id,name,price,discount,company,category,specification/description,details,ratings,number of ratings,stock
305.0,"Acer Predator Helios 300, Intel Core i7, 16GB RAM, 512GB SSD, NVIDIA RTX 3060, 15.6-inch FHD, RGB Keyboard, Black",68370.56513,24.98160475,InnovateX,Accessories,User-friendly interface,Highly rated,4.4,732.0,14.0
328.0,"Acer Predator Helios 300, Intel Core i7, 16GB RAM, 512GB SSD, NVIDIA RTX 3060, 15.6-inch FHD, RGB Keyboard, Black",67126.2744,40.65,NextGen,Networking,Compact and portable,Highly rated,4.7,972.0,44.0
366.0,"Acer Predator Helios 300, Intel Core i7, 16GB RAM, 512GB SSD, NVIDIA RTX 3060, 15.6-inch FHD, RGB Keyboard, Black",24552.8576,40.65,DevicePro,Gaming,Fast charging,Limited stock,4.8,260.0,94.0
404.0,"Acer Predator Helios 300, Intel Core i7, 16GB RAM, 512GB SSD, NVIDIA RTX 3060, 15.6-inch FHD, RGB Keyboard, Black",31291.694,40.65,GearMax,Accessories,Lightweight,Exclusive deal,4.8,518.0,35.0
430.0,"Acer Predator Helios 300, Intel Core i7, 16GB RAM, 512GB SSD, NVIDIA RTX 3060, 15.6-inch FHD, RGB Keyboard, Black",88345.0864,40.65,NextGen,Computers,Lightweight,Highly rated,2.8,630.0,60.0
433.0,"Acer Predator Helios 300, Intel Core i7, 16GB RAM, 512GB SSD, NVIDIA RTX 3060, 15.6-inch FHD, RGB Keyboard, Black",69993.5916,40.65,TechCorp,Audio,Advanced features,Best seller,2.1,935.0,84.0
462.0,"Acer Predator Helios 300, Intel Core i7, 16GB RAM, 512GB SSD, NVIDIA RTX 3060, 15.6-inch FHD, RGB Keyboard, Black",7572.056743,24.98160475,TechCorp,Wearables,Compact and portable,Best seller,2.0,452.0,50.0
469.0,"Acer Predator Helios 300, Intel Core i7, 16GB RAM, 512GB SSD, NVIDIA RTX 3060, 15.6-inch FHD, RGB Keyboard, Black",35787.5752,40.65,QuantumGear,Networking,Durable design,Customer favorite,3.1,151.0,73.0
476.0,"Acer Predator Helios 300, Intel Core i7, 16GB RAM, 512GB SSD, NVIDIA RTX 3060, 15.6-inch FHD, RGB Keyboard, Black",116675.2099,24.98160475,AlphaTech,Computers,Durable design,New arrival,2.8,522.0,29.0
514.0,"Acer Predator Helios 300, Intel Core i7, 16GB RAM, 512GB SSD, NVIDIA RTX 3060, 15.6-inch FHD, RGB Keyboard, Black",82747.1944,40.65,QuantumGear,Imaging,Compact and portable,New arrival,4.1,424.0,24.0
563.0,"Acer Predator Helios 300, Intel Core i7, 16GB RAM, 512GB SSD, NVIDIA RTX 3060, 15.6-inch FHD, RGB Keyboard, Black",59778.25822,24.98160475,ElectroHub,Storage,Lightweight,Customer favorite,2.6,644.0,3.0
571.0,"Acer Predator Helios 300, Intel Core i7, 16GB RAM, 512GB SSD, NVIDIA RTX 3060, 15.6-inch FHD, RGB Keyboard, Black",114147.9902,24.98160475,InnovateX,Peripherals,Advanced features,Free shipping,3.0,205.0,21.0
584.0,"Acer Predator Helios 300, Intel Core i7, 16GB RAM, 512GB SSD, NVIDIA RTX 3060, 15.6-inch FHD, RGB Keyboard, Black",47019.7297,24.98160475,InnovateX,Storage,Advanced features,New arrival,4.6,273.0,27.0
594.0,"Acer Predator Helios 300, Intel Core i7, 16GB RAM, 512GB SSD, NVIDIA RTX 3060, 15.6-inch FHD, RGB Keyboard, Black",46487.1932,40.65,InnovateX,Accessories,High resolution,Limited stock,1.3,555.0,62.0
663.0,"Acer Predator Helios 300, Intel Core i7, 16GB RAM, 512GB SSD, NVIDIA RTX 3060, 15.6-inch FHD, RGB Keyboard, Black",75434.89738,24.98160475,GadgetWorld,Peripherals,High resolution,Free shipping,3.2,269.0,16.0
680.0,"Acer Predator Helios 300, Intel Core i7, 16GB RAM, 512GB SSD, NVIDIA RTX 3060, 15.6-inch FHD, RGB Keyboard, Black",88685.0432,40.65,GearMax,Peripherals,High performance,Available in multiple colors,3.6,11.0,93.0
690.0,"Acer Predator Helios 300, Intel Core i7, 16GB RAM, 512GB SSD, NVIDIA RTX 3060, 15.6-inch FHD, RGB Keyboard, Black",67157.66772,24.98160475,NextGen,Wearables,Lightweight,1 year warranty,2.7,255.0,91.0
697.0,"Acer Predator Helios 300, Intel Core i7, 16GB RAM, 512GB SSD, NVIDIA RTX 3060, 15.6-inch FHD, RGB Keyboard, Black",32658.6432,40.65,QuantumGear,Accessories,Long battery life,Limited stock,4.2,716.0,0.0
699.0,"Acer Predator Helios 300, Intel Core i7, 16GB RAM, 512GB SSD, NVIDIA RTX 3060, 15.6-inch FHD, RGB Keyboard, Black",59076.68618,24.98160475,ElectroHub,Peripherals,Fast charging,Limited stock,2.5,34.0,74.0
727.0,"Acer Predator Helios 300, Intel Core i7, 16GB RAM, 512GB SSD, NVIDIA RTX 3060, 15.6-inch FHD, RGB Keyboard, Black",53876.0308,40.65,InnovateX,Storage,Long battery life,Available in multiple colors,1.1,387.0,55.0
781.0,"Acer Predator Helios 300, Intel Core i7, 16GB RAM, 512GB SSD, NVIDIA RTX 3060, 15.6-inch FHD, RGB Keyboard, Black",38263.6572,40.65,GearMax,Wearables,User-friendly interface,Limited stock,1.1,850.0,88.0
831.0,"Acer Predator Helios 300, Intel Core i7, 16GB RAM, 512GB SSD, NVIDIA RTX 3060, 15.6-inch FHD, RGB Keyboard, Black",7204.166532,24.98160475,GadgetWorld,Storage,High quality audio,Exclusive deal,1.7,993.0,71.0
846.0,"Acer Predator Helios 300, Intel Core i7, 16GB RAM, 512GB SSD, NVIDIA RTX 3060, 15.6-inch FHD, RGB Keyboard, Black",3383.4248,40.65,GadgetWorld,Wearables,Fast charging,Best seller,4.4,342.0,91.0
854.0,"Acer Predator Helios 300, Intel Core i7, 16GB RAM, 512GB SSD, NVIDIA RTX 3060, 15.6-inch FHD, RGB Keyboard, Black",64806.29114,24.98160475,GadgetWorld,Accessories,Lightweight,Best seller,1.3,198.0,35.0
875.0,"Acer Predator Helios 300, Intel Core i7, 16GB RAM, 512GB SSD, NVIDIA RTX 3060, 15.6-inch FHD, RGB Keyboard, Black",29925.73808,24.98160475,ElectroHub,Computers,High quality audio,New arrival,4.6,367.0,31.0
941.0,"Acer Predator Helios 300, Intel Core i7, 16GB RAM, 512GB SSD, NVIDIA RTX 3060, 15.6-inch FHD, RGB Keyboard, Black",56617.0512,40.65,GearMax,Imaging,High quality audio,Exclusive deal,4.1,659.0,86.0
984.0,"Acer Predator Helios 300, Intel Core i7, 16GB RAM, 512GB SSD, NVIDIA RTX 3060, 15.6-inch FHD, RGB Keyboard, Black",14639.38972,24.98160475,ElectroHub,Gaming,High quality audio,Best seller,1.6,423.0,37.0
989.0,"Acer Predator Helios 300, Intel Core i7, 16GB RAM, 512GB SSD, NVIDIA RTX 3060, 15.6-inch FHD, RGB Keyboard, Black",87147.166,40.65,PixelDynamics,Accessories,Durable design,Highly rated,2.6,306.0,67.0
1017.0,"Acer Predator Helios 300, Intel Core i7, 16GB RAM, 512GB SSD, NVIDIA RTX 3060, 15.6-inch FHD, RGB Keyboard, Black",51579.64784,24.98160475,PixelDynamics,Gaming,Compact and portable,Highly rated,3.6,680.0,67.0
1032.0,"Acer Predator Helios 300, Intel Core i7, 16GB RAM, 512GB SSD, NVIDIA RTX 3060, 15.6-inch FHD, RGB Keyboard, Black",121356.3046,9.19,GadgetWorld,Storage,Compact and portable,Available in multiple colors,2.0,189.0,75.0
1051.0,"Acer Predator Helios 300, Intel Core i7, 16GB RAM, 512GB SSD, NVIDIA RTX 3060, 15.6-inch FHD, RGB Keyboard, Black",79084.99242,24.98160475,AlphaTech,Storage,Durable design,1 year warranty,4.2,184.0,57.0
1073.0,"Acer Predator Helios 300, Intel Core i7, 16GB RAM, 512GB SSD, NVIDIA RTX 3060, 15.6-inch FHD, RGB Keyboard, Black",46565.4183,24.98160475,NextGen,Peripherals,Lightweight,New arrival,4.3,295.0,10.0
1078.0,"Acer Predator Helios 300, Intel Core i7, 16GB RAM, 512GB SSD, NVIDIA RTX 3060, 15.6-inch FHD, RGB Keyboard, Black",14782.22475,24.98160475,GearMax,Imaging,Durable design,1 year warranty,2.9,768.0,68.0
1110.0,"Acer Predator Helios 300, Intel Core i7, 16GB RAM, 512GB SSD, NVIDIA RTX 3060, 15.6-inch FHD, RGB Keyboard, Black",13242.84728,24.98160475,GearMax,Accessories,High resolution,1 year warranty,2.5,230.0,29.0
1122.0,"Acer Predator Helios 300, Intel Core i7, 16GB RAM, 512GB SSD, NVIDIA RTX 3060, 15.6-inch FHD, RGB Keyboard, Black",29512.52352,9.19,GearMax,Audio,Fast charging,1 year warranty,2.3,927.0,30.0
1132.0,"Acer Predator Helios 300, Intel Core i7, 16GB RAM, 512GB SSD, NVIDIA RTX 3060, 15.6-inch FHD, RGB Keyboard, Black",26371.06644,24.98160475,ElectroHub,Storage,Compact and portable,Free shipping,2.8,285.0,69.0
1135.0,"Acer Predator Helios 300, Intel Core i7, 16GB RAM, 512GB SSD, NVIDIA RTX 3060, 15.6-inch FHD, RGB Keyboard, Black",13158.00576,9.19,NextGen,Electronics,High performance,Customer favorite,1.4,349.0,93.0
1140.0,"Acer Predator Helios 300, Intel Core i7, 16GB RAM, 512GB SSD, NVIDIA RTX 3060, 15.6-inch FHD, RGB Keyboard, Black",85576.18412,24.98160475,TechCorp,Networking,Fast charging,Best seller,2.3,912.0,34.0
1141.0,"Acer Predator Helios 300, Intel Core i7, 16GB RAM, 512GB SSD, NVIDIA RTX 3060, 15.6-inch FHD, RGB Keyboard, Black",26077.72608,9.19,NextGen,Wearables,Long battery life,Available in multiple colors,3.2,663.0,96.0
1161.0,"Acer Predator Helios 300, Intel Core i7, 16GB RAM, 512GB SSD, NVIDIA RTX 3060, 15.6-inch FHD, RGB Keyboard, Black",71730.78909,24.98160475,AlphaTech,Computers,Fast charging,Limited stock,2.6,274.0,98.0
1187.0,"Acer Predator Helios 300, Intel Core i7, 16GB RAM, 512GB SSD, NVIDIA RTX 3060, 15.6-inch FHD, RGB Keyboard, Black",92199.02976,9.19,GearMax,Accessories,Durable design,30-day return policy,2.0,68.0,45.0
73.0,"Amazon Echo Dot (5th Gen), Smart Speaker with Alexa, Charcoal, Improved Sound, Voice Control",29106.6644,40.65,GearMax,Accessories,User-friendly interface,Free shipping,2.5,834.0,41.0
98.0,"Amazon Echo Dot (5th Gen), Smart Speaker with Alexa, Charcoal, Improved Sound, Voice Control",63218.6704,40.65,QuantumGear,Imaging,Compact and portable,30-day return policy,1.2,319.0,54.0
151.0,"Amazon Echo Dot (5th Gen), Smart Speaker with Alexa, Charcoal, Improved Sound, Voice Control",8035.370352,24.98160475,GearMax,Computers,Lightweight,New arrival,1.3,495.0,80.0
159.0,"Amazon Echo Dot (5th Gen), Smart Speaker with Alexa, Charcoal, Improved Sound, Voice Control",44490.10941,24.98160475,InnovateX,Storage,High performance,Available in multiple colors,3.5,846.0,20.0
175.0,"Amazon Echo Dot (5th Gen), Smart Speaker with Alexa, Charcoal, Improved Sound, Voice Control",88650.73803,24.98160475,AlphaTech,Imaging,User-friendly interface,Customer favorite,1.8,639.0,11.0
192.0,"Amazon Echo Dot (5th Gen), Smart Speaker with Alexa, Charcoal, Improved Sound, Voice Control",73440.00821,24.98160475,TechCorp,Gaming,Compact and portable,Limited stock,3.8,535.0,95.0
213.0,"Amazon Echo Dot (5th Gen), Smart Speaker with Alexa, Charcoal, Improved Sound, Voice Control",95797.89058,24.98160475,ElectroHub,Computers,User-friendly interface,Highly rated,3.7,693.0,45.0
227.0,"Amazon Echo Dot (5th Gen), Smart Speaker with Alexa, Charcoal, Improved Sound, Voice Control",81675.5708,40.65,InnovateX,Audio,Lightweight,Customer favorite,4.0,703.0,0.0
228.0,"Amazon Echo Dot (5th Gen), Smart Speaker with Alexa, Charcoal, Improved Sound, Voice Control",20397.408,40.65,DevicePro,Computers,High performance,Highly rated,3.8,757.0,22.0
296.0,"Amazon Echo Dot (5th Gen), Smart Speaker with Alexa, Charcoal, Improved Sound, Voice Control",4609.730351,24.98160475,TechCorp,Gaming,User-friendly interface,30-day return policy,1.3,165.0,31.0
341.0,"Amazon Echo Dot (5th Gen), Smart Speaker with Alexa, Charcoal, Improved Sound, Voice Control",24626.43864,24.98160475,InnovateX,Audio,User-friendly interface,Limited stock,2.1,888.0,14.0
343.0,"Amazon Echo Dot (5th Gen), Smart Speaker with Alexa, Charcoal, Improved Sound, Voice Control",10051.9908,40.65,PixelDynamics,Wearables,Long battery life,Best seller,3.0,824.0,38.0
349.0,"Amazon Echo Dot (5th Gen), Smart Speaker with Alexa, Charcoal, Improved Sound, Voice Control",48799.4692,40.65,InnovateX,Gaming,Long battery life,Available in multiple colors,1.6,41.0,99.0
13.0,"Amazon Echo Dot (5th Gen), Smart Speaker with Alexa, Charcoal, Improved Sound, Voice Control",55374.0248,40.65,PixelDynamics,Storage,Long battery life,Free shipping,3.8,515.0,1.0
368.0,"Amazon Echo Dot (5th Gen), Smart Speaker with Alexa, Charcoal, Improved Sound, Voice Control",28160.388,40.65,PixelDynamics,Accessories,User-friendly interface,Free shipping,4.5,212.0,0.0
391.0,"Amazon Echo Dot (5th Gen), Smart Speaker with Alexa, Charcoal, Improved Sound, Voice Control",37714.3136,40.65,NextGen,Audio,Durable design,30-day return policy,1.2,704.0,35.0
405.0,"Amazon Echo Dot (5th Gen), Smart Speaker with Alexa, Charcoal, Improved Sound, Voice Control",76891.486,40.65,NextGen,Imaging,User-friendly interface,30-day return policy,1.9,604.0,42.0
413.0,"Amazon Echo Dot (5th Gen), Smart Speaker with Alexa, Charcoal, Improved Sound, Voice Control",94102.47485,24.98160475,GadgetWorld,Accessories,Long battery life,Best seller,4.9,299.0,8.0
414.0,"Amazon Echo Dot (5th Gen), Smart Speaker with Alexa, Charcoal, Improved Sound, Voice Control",80972.392,40.65,GearMax,Electronics,High quality audio,Best seller,4.7,50.0,29.0
419.0,"Amazon Echo Dot (5th Gen), Smart Speaker with Alexa, Charcoal, Improved Sound, Voice Control",55132.8264,40.65,GadgetWorld,Audio,Long battery life,Customer favorite,2.0,829.0,4.0
432.0,"Amazon Echo Dot (5th Gen), Smart Speaker with Alexa, Charcoal, Improved Sound, Voice Control",105544.2805,24.98160475,GearMax,Gaming,High quality audio,Available in multiple colors,1.1,602.0,28.0
458.0,"Amazon Echo Dot (5th Gen), Smart Speaker with Alexa, Charcoal, Improved Sound, Voice Control",70401.4448,40.65,PixelDynamics,Wearables,Compact and portable,Customer favorite,2.5,135.0,44.0
470.0,"Amazon Echo Dot (5th Gen), Smart Speaker with Alexa, Charcoal, Improved Sound, Voice Control",99959.91115,24.98160475,InnovateX,Gaming,High resolution,Limited stock,2.7,591.0,1.0
478.0,"Amazon Echo Dot (5th Gen), Smart Speaker with Alexa, Charcoal, Improved Sound, Voice Control",44341.87306,24.98160475,QuantumGear,Computers,High performance,Limited stock,4.3,771.0,0.0
506.0,"Amazon Echo Dot (5th Gen), Smart Speaker with Alexa, Charcoal, Improved Sound, Voice Control",47581.1324,40.65,QuantumGear,Accessories,High quality audio,Free shipping,2.4,840.0,64.0
507.0,"Amazon Echo Dot (5th Gen), Smart Speaker with Alexa, Charcoal, Improved Sound, Voice Control",73099.7332,40.65,GadgetWorld,Electronics,Lightweight,Highly rated,1.8,748.0,53.0
551.0,"Amazon Echo Dot (5th Gen), Smart Speaker with Alexa, Charcoal, Improved Sound, Voice Control",118869.3479,24.98160475,PixelDynamics,Accessories,Lightweight,Free shipping,3.2,437.0,76.0
555.0,"Amazon Echo Dot (5th Gen), Smart Speaker with Alexa, Charcoal, Improved Sound, Voice Control",66311.9924,40.65,PixelDynamics,Gaming,Long battery life,Limited stock,2.8,676.0,5.0
564.0,"Amazon Echo Dot (5th Gen), Smart Speaker with Alexa, Charcoal, Improved Sound, Voice Control",9524.33546,24.98160475,ElectroHub,Storage,Durable design,Available in multiple colors,4.8,797.0,95.0
575.0,"Amazon Echo Dot (5th Gen), Smart Speaker with Alexa, Charcoal, Improved Sound, Voice Control",41544.58714,24.98160475,QuantumGear,Gaming,Fast charging,Customer favorite,1.2,846.0,78.0
578.0,"Amazon Echo Dot (5th Gen), Smart Speaker with Alexa, Charcoal, Improved Sound, Voice Control",21734.4448,40.65,ElectroHub,Storage,Fast charging,Highly rated,2.1,905.0,93.0
634.0,"Amazon Echo Dot (5th Gen), Smart Speaker with Alexa, Charcoal, Improved Sound, Voice Control",38304.99276,24.98160475,AlphaTech,Networking,Long battery life,30-day return policy,4.8,148.0,63.0
724.0,"Amazon Echo Dot (5th Gen), Smart Speaker with Alexa, Charcoal, Improved Sound, Voice Control",44803.5524,40.65,PixelDynamics,Audio,Durable design,Customer favorite,1.1,534.0,95.0
748.0,"Amazon Echo Dot (5th Gen), Smart Speaker with Alexa, Charcoal, Improved Sound, Voice Control",23648.8384,40.65,ElectroHub,Audio,Compact and portable,Best seller,4.2,704.0,49.0
762.0,"Amazon Echo Dot (5th Gen), Smart Speaker with Alexa, Charcoal, Improved Sound, Voice Control",52762.6248,40.65,AlphaTech,Networking,High resolution,Exclusive deal,1.3,936.0,20.0
31.0,"Amazon Echo Dot (5th Gen), Smart Speaker with Alexa, Charcoal, Improved Sound, Voice Control",29948.01,40.65,DevicePro,Gaming,Lightweight,Exclusive deal,2.8,317.0,25.0
818.0,"Amazon Echo Dot (5th Gen), Smart Speaker with Alexa, Charcoal, Improved Sound, Voice Control",94628.20376,24.98160475,AlphaTech,Peripherals,Compact and portable,Exclusive deal,3.3,385.0,58.0
827.0,"Amazon Echo Dot (5th Gen), Smart Speaker with Alexa, Charcoal, Improved Sound, Voice Control",22800.19083,24.98160475,AlphaTech,Storage,Lightweight,1 year warranty,2.3,344.0,82.0
840.0,"Amazon Echo Dot (5th Gen), Smart Speaker with Alexa, Charcoal, Improved Sound, Voice Control",7414.9516,40.65,InnovateX,Computers,Long battery life,Customer favorite,4.4,443.0,89.0
902.0,"Amazon Echo Dot (5th Gen), Smart Speaker with Alexa, Charcoal, Improved Sound, Voice Control",31311.1608,40.65,InnovateX,Networking,Durable design,Exclusive deal,3.8,627.0,81.0
923.0,"Amazon Echo Dot (5th Gen), Smart Speaker with Alexa, Charcoal, Improved Sound, Voice Control",85533.57367,24.98160475,TechCorp,Networking,User-friendly interface,30-day return policy,4.7,714.0,91.0
36.0,"Amazon Echo Dot (5th Gen), Smart Speaker with Alexa, Charcoal, Improved Sound, Voice Control",89910.502,40.65,GearMax,Computers,Lightweight,Free shipping,3.6,483.0,95.0
1013.0,"Amazon Echo Dot (5th Gen), Smart Speaker with Alexa, Charcoal, Improved Sound, Voice Control",14589.57751,24.98160475,PixelDynamics,Storage,Advanced features,Free shipping,4.1,336.0,41.0
1029.0,"Amazon Echo Dot (5th Gen), Smart Speaker with Alexa, Charcoal, Improved Sound, Voice Control",46205.93015,24.98160475,AlphaTech,Electronics,High performance,1 year warranty,3.6,449.0,15.0
41.0,"Amazon Echo Dot (5th Gen), Smart Speaker with Alexa, Charcoal, Improved Sound, Voice Control",12999.0744,40.65,PixelDynamics,Accessories,Lightweight,30-day return policy,4.2,784.0,93.0
1065.0,"Amazon Echo Dot (5th Gen), Smart Speaker with Alexa, Charcoal, Improved Sound, Voice Control",4416.482965,24.98160475,QuantumGear,Storage,High resolution,Available in multiple colors,1.6,642.0,26.0
1094.0,"Amazon Echo Dot (5th Gen), Smart Speaker with Alexa, Charcoal, Improved Sound, Voice Control",34445.44636,24.98160475,ElectroHub,Networking,Durable design,1 year warranty,3.7,166.0,14.0
1095.0,"Amazon Echo Dot (5th Gen), Smart Speaker with Alexa, Charcoal, Improved Sound, Voice Control",22751.90064,9.19,PixelDynamics,Electronics,High quality audio,Customer favorite,4.8,255.0,81.0
1096.0,"Amazon Echo Dot (5th Gen), Smart Speaker with Alexa, Charcoal, Improved Sound, Voice Control",97272.0396,9.19,GadgetWorld,Storage,Durable design,New arrival,4.6,205.0,73.0
1107.0,"Amazon Echo Dot (5th Gen), Smart Speaker with Alexa, Charcoal, Improved Sound, Voice Control",19075.91184,9.19,GearMax,Wearables,Lightweight,Exclusive deal,2.0,292.0,11.0
44.0,"Amazon Echo Dot (5th Gen), Smart Speaker with Alexa, Charcoal, Improved Sound, Voice Control",32244.70672,24.98160475,NextGen,Computers,High quality audio,Limited stock,4.6,327.0,40.0
1127.0,"Amazon Echo Dot (5th Gen), Smart Speaker with Alexa, Charcoal, Improved Sound, Voice Control",54403.18128,9.19,GearMax,Imaging,Long battery life,Best seller,1.5,636.0,47.0
1166.0,"Amazon Echo Dot (5th Gen), Smart Speaker with Alexa, Charcoal, Improved Sound, Voice Control",6391.57104,9.19,PixelDynamics,Peripherals,Fast charging,Free shipping,3.6,387.0,81.0
1168.0,"Amazon Echo Dot (5th Gen), Smart Speaker with Alexa, Charcoal, Improved Sound, Voice Control",28319.64336,9.19,AlphaTech,Imaging,High quality audio,Free shipping,1.5,71.0,39.0
1175.0,"Amazon Echo Dot (5th Gen), Smart Speaker with Alexa, Charcoal, Improved Sound, Voice Control",47918.75015,24.98160475,AlphaTech,Storage,High resolution,Available in multiple colors,3.8,716.0,24.0
1194.0,"Amazon Echo Dot (5th Gen), Smart Speaker with Alexa, Charcoal, Improved Sound, Voice Control",108919.5081,24.98160475,DevicePro,Accessories,Compact and portable,Highly rated,1.3,959.0,90.0
155.0,"Apple iPhone 14 Pro, 128GB, Space Black, 6.1-inch Super Retina XDR Display, A15 Bionic Chip, Dual 12MP Cameras",88292.8584,40.65,QuantumGear,Wearables,High performance,Available in multiple colors,2.8,498.0,11.0
188.0,"Apple iPhone 14 Pro, 128GB, Space Black, 6.1-inch Super Retina XDR Display, A15 Bionic Chip, Dual 12MP Cameras",93119.6752,40.65,NextGen,Wearables,High performance,Free shipping,3.5,173.0,15.0
196.0,"Apple iPhone 14 Pro, 128GB, Space Black, 6.1-inch Super Retina XDR Display, A15 Bionic Chip, Dual 12MP Cameras",81742.9924,40.65,QuantumGear,Gaming,Long battery life,New arrival,1.7,355.0,84.0
58.0,"Apple iPhone 14 Pro, 128GB, Space Black, 6.1-inch Super Retina XDR Display, A15 Bionic Chip, Dual 12MP Cameras",77925.1256,40.65,PixelDynamics,Computers,Durable design,Customer favorite,1.1,230.0,42.0
223.0,"Apple iPhone 14 Pro, 128GB, Space Black, 6.1-inch Super Retina XDR Display, A15 Bionic Chip, Dual 12MP Cameras",94564.9664,40.65,ElectroHub,Electronics,High resolution,1 year warranty,2.2,361.0,4.0
5.0,"Apple iPhone 14 Pro, 128GB, Space Black, 6.1-inch Super Retina XDR Display, A15 Bionic Chip, Dual 12MP Cameras",83662.31482,24.98160475,ElectroHub,Imaging,Advanced features,Free shipping,1.6,578.0,10.0
236.0,"Apple iPhone 14 Pro, 128GB, Space Black, 6.1-inch Super Retina XDR Display, A15 Bionic Chip, Dual 12MP Cameras",18199.084,40.65,NextGen,Imaging,Advanced features,Free shipping,2.0,327.0,9.0
255.0,"Apple iPhone 14 Pro, 128GB, Space Black, 6.1-inch Super Retina XDR Display, A15 Bionic Chip, Dual 12MP Cameras",73023.7652,40.65,AlphaTech,Networking,Durable design,Exclusive deal,1.1,263.0,48.0
264.0,"Apple iPhone 14 Pro, 128GB, Space Black, 6.1-inch Super Retina XDR Display, A15 Bionic Chip, Dual 12MP Cameras",48252.9744,40.65,NextGen,Accessories,Durable design,Highly rated,3.2,881.0,35.0
274.0,"Apple iPhone 14 Pro, 128GB, Space Black, 6.1-inch Super Retina XDR Display, A15 Bionic Chip, Dual 12MP Cameras",75402.988,40.65,QuantumGear,Wearables,User-friendly interface,Customer favorite,2.6,476.0,66.0
285.0,"Apple iPhone 14 Pro, 128GB, Space Black, 6.1-inch Super Retina XDR Display, A15 Bionic Chip, Dual 12MP Cameras",45726.41256,24.98160475,QuantumGear,Peripherals,Long battery life,30-day return policy,3.6,150.0,54.0
67.0,"Apple iPhone 14 Pro, 128GB, Space Black, 6.1-inch Super Retina XDR Display, A15 Bionic Chip, Dual 12MP Cameras",31042.61195,24.98160475,GearMax,Networking,Compact and portable,Best seller,2.4,888.0,51.0
406.0,"Apple iPhone 14 Pro, 128GB, Space Black, 6.1-inch Super Retina XDR Display, A15 Bionic Chip, Dual 12MP Cameras",30835.4112,40.65,QuantumGear,Accessories,User-friendly interface,Exclusive deal,3.4,803.0,46.0
69.0,"Apple iPhone 14 Pro, 128GB, Space Black, 6.1-inch Super Retina XDR Display, A15 Bionic Chip, Dual 12MP Cameras",87024.33922,24.98160475,QuantumGear,Computers,Lightweight,Customer favorite,4.1,833.0,5.0
423.0,"Apple iPhone 14 Pro, 128GB, Space Black, 6.1-inch Super Retina XDR Display, A15 Bionic Chip, Dual 12MP Cameras",77698.65247,24.98160475,DevicePro,Networking,High resolution,Free shipping,2.1,815.0,80.0
428.0,"Apple iPhone 14 Pro, 128GB, Space Black, 6.1-inch Super Retina XDR Display, A15 Bionic Chip, Dual 12MP Cameras",24568.0512,40.65,TechCorp,Networking,Long battery life,Available in multiple colors,1.3,221.0,69.0
449.0,"Apple iPhone 14 Pro, 128GB, Space Black, 6.1-inch Super Retina XDR Display, A15 Bionic Chip, Dual 12MP Cameras",23507.8228,40.65,PixelDynamics,Gaming,Fast charging,Best seller,4.2,99.0,72.0
