id,name,price,discount,company,category,specification/description,details,ratings,number of ratings,stock
16,"Xiaomi Mi 11X Pro, Cosmic Black, 8GB RAM, 128GB Storage, Snapdragon 888, 120Hz AMOLED Display, 108MP Triple Camera",42548.63334,24.98160475,TechCorp,Computers,Fast charging,Customer favorite,2.1,434,40
17,"JBL Flip 6, Portable Bluetooth Speaker, Waterproof, 12 Hours Playtime, Dual Passive Radiators, Red",65960.6404,40.65,InnovateX,Computers,Advanced features,Customer favorite,4.6,16,43
18,"Microsoft Surface Pro 9, Intel Core i5, 8GB RAM, 256GB SSD, 13-inch Touchscreen, Platinum, Windows 11",115964.6357,24.98160475,DevicePro,Networking,High performance,Exclusive deal,1.2,423,31
19,"Redmi 13 5G, Orchid Pink, 6GB+128GB | India Debut SD 4 Gen 2 AE | 108MP Pro Grade Camera | 6.79in Largest Display in Segment",67196.67728,24.98160475,GearMax,Imaging,High resolution,Limited stock,1.3,142,80
20,"Dell XPS 13, Intel Core i7, 16GB RAM, 1TB SSD, 13.4-inch UHD+ Display, Intel Iris Xe Graphics, Platinum Silver",98753.01521,24.98160475,DevicePro,Audio,High resolution,New arrival,1.2,799,83
21,"JBL Flip 6, Portable Bluetooth Speaker, Waterproof, 12 Hours Playtime, Dual Passive Radiators, Red",57404.07604,24.98160475,DevicePro,Computers,Advanced features,Exclusive deal,1.9,990,23
22,"Acer Predator Helios 300, Intel Core i7, 16GB RAM, 512GB SSD, NVIDIA RTX 3060, 15.6-inch FHD, RGB Keyboard, Black",28242.0536,40.65,NextGen,Accessories,High resolution,Limited stock,4.5,633,56
23,"HP Laptop 15s, AMD Ryzen 3 5300U, 15.6-inch (39.6 cm), FHD, 8GB DDR4, 512GB SSD, AMD Radeon Graphics, Thin & Light, Dual Speakers (Win 11, MSO 2019, Silver, 1.69 kg), eq2143AU",14387.32791,24.98160475,InnovateX,Networking,Fast charging,Highly rated,4.2,173,26
24,"Dell XPS 13, Intel Core i7, 16GB RAM, 1TB SSD, 13.4-inch UHD+ Display, Intel Iris Xe Graphics, Platinum Silver",62473.2344,40.65,PixelDynamics,Accessories,Lightweight,1 year warranty,1.9,715,54
25,"Canon EOS R5 Mirrorless Camera, 45MP Full-Frame CMOS Sensor, 8K Video, Wi-Fi, Bluetooth, Body Only",27453.8856,40.65,QuantumGear,Storage,High quality audio,Customer favorite,4.6,90,34
26,"Xiaomi Mi 11X Pro, Cosmic Black, 8GB RAM, 128GB Storage, Snapdragon 888, 120Hz AMOLED Display, 108MP Triple Camera",46650.9992,40.65,DevicePro,Peripherals,High resolution,Free shipping,4.6,118,27
27,"HP Envy 13, Intel Core i5, 13.3-inch FHD, 8GB RAM, 512GB SSD, Fingerprint Reader, Backlit Keyboard, Natural Silver",69828.32259,24.98160475,InnovateX,Accessories,Durable design,Exclusive deal,4.7,488,51
28,"Canon EOS R5 Mirrorless Camera, 45MP Full-Frame CMOS Sensor, 8K Video, Wi-Fi, Bluetooth, Body Only",99613.62624,24.98160475,DevicePro,Computers,High performance,Free shipping,3.4,278,63
29,"Asus ROG Strix G17, AMD Ryzen 9 5900HX, 17.3-inch FHD, 16GB DDR4, 1TB SSD, NVIDIA GeForce RTX 3070, Eclipse Gray",3977.8744,40.65,AlphaTech,Storage,Lightweight,Limited stock,4.7,742,34
30,"Microsoft Surface Pro 9, Intel Core i5, 8GB RAM, 256GB SSD, 13-inch Touchscreen, Platinum, Windows 11",9072.424647,24.98160475,AlphaTech,Peripherals,Advanced features,Limited stock,4.7,77,79
31,"Amazon Echo Dot (5th Gen), Smart Speaker with Alexa, Charcoal, Improved Sound, Voice Control",29948.01,40.65,DevicePro,Gaming,Lightweight,Exclusive deal,2.8,317,25
32,"HP Laptop 15s, AMD Ryzen 3 5300U, 15.6-inch (39.6 cm), FHD, 8GB DDR4, 512GB SSD, AMD Radeon Graphics, Thin & Light, Dual Speakers (Win 11, MSO 2019, Silver, 1.69 kg), eq2143AU",93444.11341,24.98160475,GearMax,Wearables,Fast charging,30-day return policy,3.0,939,42
33,"Redmi 13 5G, Orchid Pink, 6GB+128GB | India Debut SD 4 Gen 2 AE | 108MP Pro Grade Camera | 6.79in Largest Display in Segment",85613.562,40.65,GearMax,Storage,High performance,Free shipping,3.2,388,13
34,"Apple iPhone 14 Pro, 128GB, Space Black, 6.1-inch Super Retina XDR Display, A15 Bionic Chip, Dual 12MP Cameras",102287.882,24.98160475,QuantumGear,Computers,Durable design,1 year warranty,1.5,78,69
35,"Redmi 13 5G, Orchid Pink, 6GB+128GB | India Debut SD 4 Gen 2 AE | 108MP Pro Grade Camera | 6.79in Largest Display in Segment",37530.80292,24.98160475,InnovateX,Wearables,Durable design,Limited stock,1.9,880,93
36,"Amazon Echo Dot (5th Gen), Smart Speaker with Alexa, Charcoal, Improved Sound, Voice Control",89910.502,40.65,GearMax,Computers,Lightweight,Free shipping,3.6,483,95
37,"Asus ROG Strix G17, AMD Ryzen 9 5900HX, 17.3-inch FHD, 16GB DDR4, 1TB SSD, NVIDIA GeForce RTX 3070, Eclipse Gray",44124.01964,24.98160475,GearMax,Wearables,Long battery life,Free shipping,3.5,415,67
38,"OnePlus 11, Eternal Green, 8GB RAM, 128GB Storage, Snapdragon 8 Gen 2, 6.7-inch QHD+ AMOLED Display, 50MP Triple Camera",40922.83468,24.98160475,NextGen,Gaming,User-friendly interface,Customer favorite,4.3,100,68
39,"Canon EOS R5 Mirrorless Camera, 45MP Full-Frame CMOS Sensor, 8K Video, Wi-Fi, Bluetooth, Body Only",75856.422,40.65,ElectroHub,Accessories,High resolution,Highly rated,3.1,166,58
40,"Samsung Odyssey G7, 32-inch QHD, 240Hz, Curved Gaming Monitor, 1000R, G-Sync Compatible, Black",118201.9843,24.98160475,GearMax,Wearables,User-friendly interface,Exclusive deal,4.8,670,65
41,"Amazon Echo Dot (5th Gen), Smart Speaker with Alexa, Charcoal, Improved Sound, Voice Control",12999.0744,40.65,PixelDynamics,Accessories,Lightweight,30-day return policy,4.2,784,93
42,"HP Laptop 15s, AMD Ryzen 3 5300U, 15.6-inch (39.6 cm), FHD, 8GB DDR4, 512GB SSD, AMD Radeon Graphics, Thin & Light, Dual Speakers (Win 11, MSO 2019, Silver, 1.69 kg), eq2143AU",7796.216,40.65,PixelDynamics,Peripherals,Durable design,Highly rated,2.1,958,72
43,"HP Envy 13, Intel Core i5, 13.3-inch FHD, 8GB RAM, 512GB SSD, Fingerprint Reader, Backlit Keyboard, Natural Silver",57653.13711,24.98160475,TechCorp,Networking,Advanced features,Customer favorite,4.3,369,50
44,"Amazon Echo Dot (5th Gen), Smart Speaker with Alexa, Charcoal, Improved Sound, Voice Control",32244.70672,24.98160475,NextGen,Computers,High quality audio,Limited stock,4.6,327,40
45,"OnePlus 11, Eternal Green, 8GB RAM, 128GB Storage, Snapdragon 8 Gen 2, 6.7-inch QHD+ AMOLED Display, 50MP Triple Camera",25657.7172,40.65,DevicePro,Imaging,Compact and portable,Free shipping,2.5,832,10
46,"Acer Predator Helios 300, Intel Core i7, 16GB RAM, 512GB SSD, NVIDIA RTX 3060, 15.6-inch FHD, RGB Keyboard, Black",31580.3724,40.65,TechCorp,Electronics,Lightweight,Exclusive deal,4.8,320,7
47,"Samsung Galaxy S23 Ultra, 12GB RAM, 256GB Storage, 200MP Camera, 6.8-inch QHD+ Display, Phantom Black",26122.00537,24.98160475,ElectroHub,Electronics,Lightweight,Highly rated,3.1,12,97
48,"OnePlus 11, Eternal Green, 8GB RAM, 128GB Storage, Snapdragon 8 Gen 2, 6.7-inch QHD+ AMOLED Display, 50MP Triple Camera",46123.0216,40.65,ElectroHub,Networking,Lightweight,1 year warranty,1.1,659,79
49,"Redmi 13 5G, Orchid Pink, 6GB+128GB | India Debut SD 4 Gen 2 AE | 108MP Pro Grade Camera | 6.79in Largest Display in Segment",3344.019986,24.98160475,ElectroHub,Accessories,Advanced features,Available in multiple colors,2.7,164,35
50,"HP Laptop 15s, AMD Ryzen 3 5300U, 15.6-inch (39.6 cm), FHD, 8GB DDR4, 512GB SSD, AMD Radeon Graphics, Thin & Light, Dual Speakers (Win 11, MSO 2019, Silver, 1.69 kg), eq2143AU",80805.61433,24.98160475,QuantumGear,Storage,High performance,1 year warranty,1.0,176,70
51,"OnePlus 11, Eternal Green, 8GB RAM, 128GB Storage, Snapdragon 8 Gen 2, 6.7-inch QHD+ AMOLED Display, 50MP Triple Camera",78742.30839,24.98160475,ElectroHub,Gaming,Advanced features,Available in multiple colors,1.4,107,55
52,"Bose SoundLink Revolve+ Bluetooth Speaker, 360° Sound, Portable, Water-Resistant, Triple Black",89152.46106,24.98160475,QuantumGear,Peripherals,User-friendly interface,Exclusive deal,3.0,354,35
53,"Logitech MX Master 3S Wireless Mouse, Ultrafast Scrolling, Ergonomic Design, 4000 DPI Sensor, Graphite",21100.57407,24.98160475,InnovateX,Networking,Fast charging,Limited stock,3.4,277,93
54,"Xiaomi Mi 11X Pro, Cosmic Black, 8GB RAM, 128GB Storage, Snapdragon 888, 120Hz AMOLED Display, 108MP Triple Camera",26032.3344,40.65,GearMax,Computers,Long battery life,Limited stock,3.0,659,62
55,"Garmin Forerunner 945, GPS Running Smartwatch, 2 Weeks Battery Life, Music, Advanced Training Features, Black",68712.5812,40.65,GearMax,Audio,Compact and portable,Free shipping,4.9,702,4
56,"Redmi 13 5G, Orchid Pink, 6GB+128GB | India Debut SD 4 Gen 2 AE | 108MP Pro Grade Camera | 6.79in Largest Display in Segment",21618.5936,40.65,InnovateX,Storage,Compact and portable,1 year warranty,3.4,660,8
57,"HP Laptop 15s, AMD Ryzen 3 5300U, 15.6-inch (39.6 cm), FHD, 8GB DDR4, 512GB SSD, AMD Radeon Graphics, Thin & Light, Dual Speakers (Win 11, MSO 2019, Silver, 1.69 kg), eq2143AU",94901.5996,40.65,AlphaTech,Computers,Fast charging,1 year warranty,2.8,919,42
58,"Apple iPhone 14 Pro, 128GB, Space Black, 6.1-inch Super Retina XDR Display, A15 Bionic Chip, Dual 12MP Cameras",77925.1256,40.65,PixelDynamics,Computers,Durable design,Customer favorite,1.1,230,42
59,"Garmin Forerunner 945, GPS Running Smartwatch, 2 Weeks Battery Life, Music, Advanced Training Features, Black",80428.72191,24.98160475,ElectroHub,Audio,High resolution,Available in multiple colors,2.8,946,83
60,"Samsung Galaxy S23 Ultra, 12GB RAM, 256GB Storage, 200MP Camera, 6.8-inch QHD+ Display, Phantom Black",104729.8808,24.98160475,TechCorp,Accessories,Compact and portable,1 year warranty,3.0,763,18
61,"HP Envy 13, Intel Core i5, 13.3-inch FHD, 8GB RAM, 512GB SSD, Fingerprint Reader, Backlit Keyboard, Natural Silver",60766.3284,40.65,GearMax,Gaming,High quality audio,Limited stock,3.2,481,77
62,"Sony WH-1000XM4 Wireless Noise Cancelling Headphones, 30 Hours Battery Life, Quick Charge, Touch Control, Black",55348.57201,24.98160475,GearMax,Computers,Long battery life,Exclusive deal,3.3,541,81
63,"Asus ROG Strix G17, AMD Ryzen 9 5900HX, 17.3-inch FHD, 16GB DDR4, 1TB SSD, NVIDIA GeForce RTX 3070, Eclipse Gray",85105.66874,24.98160475,TechCorp,Peripherals,Fast charging,Free shipping,3.0,919,88
64,"Garmin Forerunner 945, GPS Running Smartwatch, 2 Weeks Battery Life, Music, Advanced Training Features, Black",48164.6616,40.65,InnovateX,Wearables,Long battery life,30-day return policy,3.4,650,81
65,"HP Laptop 15s, AMD Ryzen 3 5300U, 15.6-inch (39.6 cm), FHD, 8GB DDR4, 512GB SSD, AMD Radeon Graphics, Thin & Light, Dual Speakers (Win 11, MSO 2019, Silver, 1.69 kg), eq2143AU",32887.9716,40.65,GearMax,Computers,Long battery life,Best seller,4.3,31,11
66,"Garmin Forerunner 945, GPS Running Smartwatch, 2 Weeks Battery Life, Music, Advanced Training Features, Black",79595.472,40.65,PixelDynamics,Accessories,Compact and portable,Customer favorite,1.5,705,88
67,"Apple iPhone 14 Pro, 128GB, Space Black, 6.1-inch Super Retina XDR Display, A15 Bionic Chip, Dual 12MP Cameras",31042.61195,24.98160475,GearMax,Networking,Compact and portable,Best seller,2.4,888,51
68,"OnePlus 11, Eternal Green, 8GB RAM, 128GB Storage, Snapdragon 8 Gen 2, 6.7-inch QHD+ AMOLED Display, 50MP Triple Camera",59111.49472,24.98160475,NextGen,Audio,Advanced features,Best seller,4.9,745,52
69,"Apple iPhone 14 Pro, 128GB, Space Black, 6.1-inch Super Retina XDR Display, A15 Bionic Chip, Dual 12MP Cameras",87024.33922,24.98160475,QuantumGear,Computers,Lightweight,Customer favorite,4.1,833,5
70,"Garmin Forerunner 945, GPS Running Smartwatch, 2 Weeks Battery Life, Music, Advanced Training Features, Black",77836.8128,40.65,GearMax,Accessories,High quality audio,30-day return policy,4.2,142,52
71,"Xiaomi Mi 11X Pro, Cosmic Black, 8GB RAM, 128GB Storage, Snapdragon 888, 120Hz AMOLED Display, 108MP Triple Camera",61609.0984,40.65,GadgetWorld,Accessories,Advanced features,Available in multiple colors,4.8,789,50
72,"Garmin Forerunner 945, GPS Running Smartwatch, 2 Weeks Battery Life, Music, Advanced Training Features, Black",38016.7612,40.65,DevicePro,Computers,High resolution,Exclusive deal,1.3,414,7
73,"Amazon Echo Dot (5th Gen), Smart Speaker with Alexa, Charcoal, Improved Sound, Voice Control",29106.6644,40.65,GearMax,Accessories,User-friendly interface,Free shipping,2.5,834,41
74,"Dell XPS 13, Intel Core i7, 16GB RAM, 1TB SSD, 13.4-inch UHD+ Display, Intel Iris Xe Graphics, Platinum Silver",37363.36186,24.98160475,GadgetWorld,Storage,Advanced features,New arrival,1.6,801,10
75,"Redmi 13 5G, Orchid Pink, 6GB+128GB | India Debut SD 4 Gen 2 AE | 108MP Pro Grade Camera | 6.79in Largest Display in Segment",28354.1064,40.65,PixelDynamics,Electronics,High quality audio,Free shipping,1.6,349,47
76,"Dell XPS 13, Intel Core i7, 16GB RAM, 1TB SSD, 13.4-inch UHD+ Display, Intel Iris Xe Graphics, Platinum Silver",23440.4012,40.65,QuantumGear,Accessories,User-friendly interface,Free shipping,3.3,906,25
77,"Dell XPS 13, Intel Core i7, 16GB RAM, 1TB SSD, 13.4-inch UHD+ Display, Intel Iris Xe Graphics, Platinum Silver",66035.184,40.65,GearMax,Electronics,High resolution,Free shipping,3.9,880,24
78,"Samsung Galaxy S23 Ultra, 12GB RAM, 256GB Storage, 200MP Camera, 6.8-inch QHD+ Display, Phantom Black",87292.00486,24.98160475,InnovateX,Gaming,High performance,Highly rated,3.9,413,65
79,"Canon EOS R5 Mirrorless Camera, 45MP Full-Frame CMOS Sensor, 8K Video, Wi-Fi, Bluetooth, Body Only",64430.36,40.65,TechCorp,Peripherals,Compact and portable,Exclusive deal,3.7,272,83
80,"OnePlus 11, Eternal Green, 8GB RAM, 128GB Storage, Snapdragon 8 Gen 2, 6.7-inch QHD+ AMOLED Display, 50MP Triple Camera",103529.5865,24.98160475,ElectroHub,Storage,Compact and portable,Exclusive deal,3.6,574,81
81,"Apple iPhone 14 Pro, 128GB, Space Black, 6.1-inch Super Retina XDR Display, A15 Bionic Chip, Dual 12MP Cameras",16855.73319,24.98160475,PixelDynamics,Peripherals,Fast charging,30-day return policy,4.2,615,25
82,"JBL Flip 6, Portable Bluetooth Speaker, Waterproof, 12 Hours Playtime, Dual Passive Radiators, Red",79838.0948,40.65,NextGen,Electronics,High resolution,Exclusive deal,1.2,644,36
83,"Canon EOS R5 Mirrorless Camera, 45MP Full-Frame CMOS Sensor, 8K Video, Wi-Fi, Bluetooth, Body Only",64429.39872,24.98160475,ElectroHub,Electronics,High resolution,30-day return policy,1.7,783,78
84,"HP Laptop 15s, AMD Ryzen 3 5300U, 15.6-inch (39.6 cm), FHD, 8GB DDR4, 512GB SSD, AMD Radeon Graphics, Thin & Light, Dual Speakers (Win 11, MSO 2019, Silver, 1.69 kg), eq2143AU",81262.02,40.65,DevicePro,Networking,High performance,Best seller,1.6,414,38
85,"Garmin Forerunner 945, GPS Running Smartwatch, 2 Weeks Battery Life, Music, Advanced Training Features, Black",76326.11591,24.98160475,QuantumGear,Storage,Long battery life,Highly rated,3.2,717,66
86,"Apple iPhone 14 Pro, 128GB, Space Black, 6.1-inch Super Retina XDR Display, A15 Bionic Chip, Dual 12MP Cameras",8103.8864,40.65,NextGen,Networking,User-friendly interface,Free shipping,1.9,937,93
87,"Asus ROG Strix G17, AMD Ryzen 9 5900HX, 17.3-inch FHD, 16GB DDR4, 1TB SSD, NVIDIA GeForce RTX 3070, Eclipse Gray",90977.8524,40.65,NextGen,Storage,Fast charging,Limited stock,1.8,763,23
88,"Samsung Odyssey G7, 32-inch QHD, 240Hz, Curved Gaming Monitor, 1000R, G-Sync Compatible, Black",18484.4388,40.65,PixelDynamics,Computers,Durable design,Customer favorite,3.7,708,9
89,"Canon EOS R5 Mirrorless Camera, 45MP Full-Frame CMOS Sensor, 8K Video, Wi-Fi, Bluetooth, Body Only",66669.14793,24.98160475,ElectroHub,Wearables,Advanced features,Available in multiple colors,2.2,250,32
90,"OnePlus 11, Eternal Green, 8GB RAM, 128GB Storage, Snapdragon 8 Gen 2, 6.7-inch QHD+ AMOLED Display, 50MP Triple Camera",66646.7264,40.65,PixelDynamics,Storage,High performance,Available in multiple colors,4.5,913,50
91,"Canon EOS R5 Mirrorless Camera, 45MP Full-Frame CMOS Sensor, 8K Video, Wi-Fi, Bluetooth, Body Only",29443.2976,40.65,GadgetWorld,Imaging,User-friendly interface,Customer favorite,3.9,514,55
92,"HP Laptop 15s, AMD Ryzen 3 5300U, 15.6-inch (39.6 cm), FHD, 8GB DDR4, 512GB SSD, AMD Radeon Graphics, Thin & Light, Dual Speakers (Win 11, MSO 2019, Silver, 1.69 kg), eq2143AU",24197.93357,24.98160475,AlphaTech,Gaming,High performance,New arrival,2.7,951,96
93,"Sony WH-1000XM4 Wireless Noise Cancelling Headphones, 30 Hours Battery Life, Quick Charge, Touch Control, Black",87296.20589,24.98160475,TechCorp,Networking,User-friendly interface,Limited stock,1.3,710,94
94,"Canon EOS R5 Mirrorless Camera, 45MP Full-Frame CMOS Sensor, 8K Video, Wi-Fi, Bluetooth, Body Only",26745.484,40.65,DevicePro,Storage,Lightweight,Best seller,2.3,326,15
95,"Microsoft Surface Pro 9, Intel Core i5, 8GB RAM, 256GB SSD, 13-inch Touchscreen, Platinum, Windows 11",38455.0016,40.65,GearMax,Peripherals,High resolution,Free shipping,2.3,84,98
96,"Xiaomi Mi 11X Pro, Cosmic Black, 8GB RAM, 128GB Storage, Snapdragon 888, 120Hz AMOLED Display, 108MP Triple Camera",11396.6244,40.65,TechCorp,Wearables,User-friendly interface,Free shipping,2.2,696,44
97,"Sony WH-1000XM4 Wireless Noise Cancelling Headphones, 30 Hours Battery Life, Quick Charge, Touch Control, Black",99782.86774,24.98160475,QuantumGear,Storage,Durable design,Exclusive deal,2.2,944,20
98,"Amazon Echo Dot (5th Gen), Smart Speaker with Alexa, Charcoal, Improved Sound, Voice Control",63218.6704,40.65,QuantumGear,Imaging,Compact and portable,30-day return policy,1.2,319,54
99,"Dell XPS 13, Intel Core i7, 16GB RAM, 1TB SSD, 13.4-inch UHD+ Display, Intel Iris Xe Graphics, Platinum Silver",61728.2732,40.65,NextGen,Peripherals,Advanced features,1 year warranty,4.0,805,29
100,"Lenovo IdeaPad Flex 5, AMD Ryzen 5 5500U, 14-inch FHD, 16GB RAM, 512GB SSD, 360° Hinge, Graphite Grey",6177.6228,40.65,GearMax,Audio,Fast charging,30-day return policy,1.3,32,87
101,"Sony WH-1000XM4 Wireless Noise Cancelling Headphones, 30 Hours Battery Life, Quick Charge, Touch Control, Black",106779.3834,24.98160475,InnovateX,Accessories,Lightweight,Customer favorite,3.3,315,64
102,"OnePlus 11, Eternal Green, 8GB RAM, 128GB Storage, Snapdragon 8 Gen 2, 6.7-inch QHD+ AMOLED Display, 50MP Triple Camera",32302.0684,40.65,GearMax,Audio,Compact and portable,Exclusive deal,1.2,427,87
103,"Samsung Odyssey G7, 32-inch QHD, 240Hz, Curved Gaming Monitor, 1000R, G-Sync Compatible, Black",54813.84089,24.98160475,GadgetWorld,Gaming,Compact and portable,Limited stock,4.8,652,82
104,"Samsung Galaxy S23 Ultra, 12GB RAM, 256GB Storage, 200MP Camera, 6.8-inch QHD+ Display, Phantom Black",15139.4728,40.65,NextGen,Audio,High performance,Customer favorite,2.3,333,52
105,"OnePlus 11, Eternal Green, 8GB RAM, 128GB Storage, Snapdragon 8 Gen 2, 6.7-inch QHD+ AMOLED Display, 50MP Triple Camera",31111.27,40.65,InnovateX,Electronics,User-friendly interface,30-day return policy,5.0,231,10
106,"Bose SoundLink Revolve+ Bluetooth Speaker, 360° Sound, Portable, Water-Resistant, Triple Black",69915.7244,40.65,DevicePro,Networking,Durable design,Customer favorite,1.8,73,16
107,"Asus ROG Strix G17, AMD Ryzen 9 5900HX, 17.3-inch FHD, 16GB DDR4, 1TB SSD, NVIDIA GeForce RTX 3070, Eclipse Gray",80571.186,40.65,AlphaTech,Audio,High performance,New arrival,2.2,30,35
108,"HP Envy 13, Intel Core i5, 13.3-inch FHD, 8GB RAM, 512GB SSD, Fingerprint Reader, Backlit Keyboard, Natural Silver",68306.94953,24.98160475,GadgetWorld,Audio,Durable design,Available in multiple colors,3.6,367,86
109,"Bose SoundLink Revolve+ Bluetooth Speaker, 360° Sound, Portable, Water-Resistant, Triple Black",43497.8524,40.65,AlphaTech,Computers,High performance,Best seller,2.5,258,12
110,"OnePlus 11, Eternal Green, 8GB RAM, 128GB Storage, Snapdragon 8 Gen 2, 6.7-inch QHD+ AMOLED Display, 50MP Triple Camera",61981.8164,40.65,GearMax,Gaming,Advanced features,Highly rated,3.5,556,39
111,"HP Envy 13, Intel Core i5, 13.3-inch FHD, 8GB RAM, 512GB SSD, Fingerprint Reader, Backlit Keyboard, Natural Silver",94512.37536,24.98160475,ElectroHub,Audio,High quality audio,Exclusive deal,1.1,610,13
112,"Canon EOS R5 Mirrorless Camera, 45MP Full-Frame CMOS Sensor, 8K Video, Wi-Fi, Bluetooth, Body Only",47701.2568,40.65,ElectroHub,Peripherals,High resolution,New arrival,3.3,804,85
113,"Bose SoundLink Revolve+ Bluetooth Speaker, 360° Sound, Portable, Water-Resistant, Triple Black",51641.622,40.65,AlphaTech,Networking,Compact and portable,New arrival,4.1,584,43
114,"Lenovo IdeaPad Flex 5, AMD Ryzen 5 5500U, 14-inch FHD, 16GB RAM, 512GB SSD, 360° Hinge, Graphite Grey",41958.5508,40.65,TechCorp,Imaging,User-friendly interface,Best seller,1.3,775,49
115,"Asus ROG Strix G17, AMD Ryzen 9 5900HX, 17.3-inch FHD, 16GB DDR4, 1TB SSD, NVIDIA GeForce RTX 3070, Eclipse Gray",31343.4472,40.65,ElectroHub,Computers,Compact and portable,Customer favorite,3.4,185,81
116,"Bose SoundLink Revolve+ Bluetooth Speaker, 360° Sound, Portable, Water-Resistant, Triple Black",74304.7756,40.65,ElectroHub,Networking,User-friendly interface,Available in multiple colors,1.5,247,8
117,"JBL Flip 6, Portable Bluetooth Speaker, Waterproof, 12 Hours Playtime, Dual Passive Radiators, Red",14516.9597,24.98160475,InnovateX,Wearables,Lightweight,Highly rated,2.7,598,8
118,"Samsung Odyssey G7, 32-inch QHD, 240Hz, Curved Gaming Monitor, 1000R, G-Sync Compatible, Black",19466.97349,24.98160475,GadgetWorld,Peripherals,Fast charging,New arrival,2.9,493,74
119,"Samsung Galaxy S23 Ultra, 12GB RAM, 256GB Storage, 200MP Camera, 6.8-inch QHD+ Display, Phantom Black",91035.3032,40.65,AlphaTech,Wearables,Durable design,Highly rated,3.6,236,6
120,"Redmi 13 5G, Orchid Pink, 6GB+128GB | India Debut SD 4 Gen 2 AE | 108MP Pro Grade Camera | 6.79in Largest Display in Segment",117623.4424,24.98160475,QuantumGear,Wearables,High quality audio,Free shipping,1.3,904,37
121,"Acer Predator Helios 300, Intel Core i7, 16GB RAM, 512GB SSD, NVIDIA RTX 3060, 15.6-inch FHD, RGB Keyboard, Black",18417.0172,40.65,GadgetWorld,Networking,Lightweight,Exclusive deal,4.0,952,20
122,"Microsoft Surface Pro 9, Intel Core i5, 8GB RAM, 256GB SSD, 13-inch Touchscreen, Platinum, Windows 11",89270.0899,24.98160475,ElectroHub,Gaming,Advanced features,Best seller,2.5,251,28
